Y,ID,Operator,Date,Priority,Price,Speed,Duration,Temp,Location,Agreed,State,Class,Surface,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30
30.54131733,G9937,IK,12/01/2018,Medium,Cheap,Medium,Long,Cold,Storage tanks,No,Uncertain,Wooden,Smooth,24.08961922,14.13288611,14.858961,14.74126599,10.60257116,NA,14.83210144,14.70141925,21.46094021,18.03356447,58.9645989,61.975978,42.712443,34.16938615,45.39881635,42.20819263,42.17723161,53.09328093,61.2333843,47.04720071,-43.02568013,-51.90053619,-30.75968466,-38.01427404,-44.48521257,-12.25112674,-32.85849876,-33.3722272,-33.86565587,-26.29140317
11.94228365,G9938,IK,18/01/2018,Medium,Expensive,Medium,Very Long,Cold,Storage tanks,Yes,Checked,Ceramic,Rough,27.86888871,31.12405336,30.8660829,27.35311734,32.24867768,30.96700485,33.04677127,24.17353306,31.95506545,25.55329745,80.99562966,88.49698258,88.61559309,97.32711799,105.2699959,80.97699821,86.65594904,96.97934654,94.96455251,89.49460666,-24.24552612,2.982778494,5.334240611,5.250830552,-6.973120088,-10.19224142,-7.302202221,-27.84120249,-8.932182157,9.421324443
1.316806052,G9939,IK,26/01/2018,Medium,Expensive,Fast,Very Long,Warm,Storage tanks,No,Uncertain,Metal,Rough,8.027817282,7.085717624,-12.4780388,-3.525574456,13.28506274,0.236974567,5.773268165,4.366288026,-3.479112605,-11.2966665,62.40035695,85.93948126,69.34981644,76.76755488,74.24855378,68.60154149,78.70131958,105.0535578,77.46189982,91.63432792,73.98275382,62.84553655,73.19452839,58.35725776,61.1295745,54.78567314,66.73871863,84.56684159,76.70829354,59.69583343
25.57704679,G9940,OL,1/02/2018,Low,Expensive,Medium,Long,Warm,Steam plant,No,Checked,Ceramic,Rough,9.719015887,20.66512272,19.96219121,21.1284059,18.90479237,26.83469041,28.06600052,17.54204264,15.6789379,19.2464552,54.86019848,45.23955675,37.55431161,44.34907229,63.22995841,43.15862607,45.3883281,43.58197116,27.92816198,48.98658751,-15.69657457,-11.89613552,-22.73783747,-11.32160495,-4.012180887,-25.41160702,-31.05204177,-42.75484539,-33.33400586,-17.45256159
11.25541892,G9941,IK,9/02/2018,High,Cheap,Slow,Very Long,NA,Steam plant,Yes,Uncertain,NA,Smooth,13.00137238,14.58317398,5.396026829,15.19930507,16.79794658,13.97784296,16.6638109,15.07309031,8.692647026,8.925654682,76.54216183,64.04451959,80.85876252,64.26871193,83.20542989,78.73568713,NA,83.48034879,64.47716989,70.41927289,32.79043382,39.38123425,36.88439062,39.97451435,NA,NA,15.95361193,26.13351842,38.86657846,18.02370338
20.92691095,G9942,IK,15/02/2018,Medium,Fair,Medium,Very Long,Hot,Steam plant,Yes,Under review,Ceramic,Textured,44.95336792,44.24407269,44.35148024,33.59350672,33.34472141,31.65585893,42.81538751,37.76317416,41.91515025,39.1545881,104.1124255,102.6817709,95.73448117,96.1162152,70.0525124,85.41374742,90.38396474,85.21105781,85.88318284,97.52045011,21.39220176,19.54619732,18.50005302,14.100194,24.99187199,29.19823004,24.34858472,17.70036218,14.10886988,3.556200215
36.36713367,G9943,IK,22/02/2018,Medium,Cheap,Medium,Long,Hot,Steam plant,Yes,Under review,Wooden,Rough,34.90041327,39.94616106,38.8374235,39.28798205,29.84046202,33.31670012,37.71289581,41.04878079,33.13556784,34.19943738,62.13695374,55.59309796,61.26756172,73.0035691,63.71591062,60.63461207,57.42124878,50.13236452,57.72063782,58.90792071,55.33408626,72.32192507,66.65398912,69.50317414,67.73822828,74.80954461,98.29174408,80.48778424,74.98041108,70.43448969
26.2724576,G9944,IK,1/03/2018,Low,Expensive,Medium,Long,Hot,Control room,Yes,Under review,Plastic,Rough,NA,23.77134609,14.1002336,25.62165786,28.68083004,NA,NA,16.90613607,NA,26.20218321,86.8385247,67.05687903,82.55742694,76.47192042,92.49868533,NA,86.59774369,82.60249631,86.20884243,82.96287815,68.18316188,62.96498821,83.34153231,88.54252461,69.88215307,96.51151732,115.5965112,74.17487792,95.84147766,NA
10.13601472,G9945,IK,8/03/2018,Low,Expensive,Fast,Short,Cold,Control room,No,Under review,Ceramic,Textured,19.46481673,20.10181951,17.9581035,9.272430672,19.02608149,11.47699715,19.18654049,6.484471011,19.81203848,19.39695673,55.17504201,44.97773787,44.92927268,50.70693852,56.78496505,45.6637387,38.99185322,50.98786491,56.38482625,52.47710505,-44.56015296,-37.49769107,-47.73858635,-62.87969979,-48.11369047,-44.75714464,-29.59028232,-62.08590794,-61.5069732,-24.74775033
26.86821369,G9946,HN,15/03/2018,Medium,Expensive,Medium,Long,Warm,Storage tanks,No,Checked,Wooden,Textured,19.96066425,21.13991788,12.29008018,21.00127296,15.7976763,NA,14.89896825,25.72740006,19.7364593,20.11333009,100.9738133,101.0722069,107.8758605,92.71605831,88.02915985,93.41774051,86.84703272,98.62828343,93.20025237,78.92149027,113.2606975,95.71542055,84.61734215,101.8640286,91.38644809,116.358877,73.88914584,97.8554737,98.38678161,89.84374681
16.32027344,G9947,IK,23/03/2018,High,Expensive,Slow,Long,Hot,Control room,No,Checked,Wooden,Textured,-1.045479128,1.733791587,0.924359402,2.808979798,2.606021072,8.482373283,7.130395742,1.456996843,1.586104359,3.861169404,92.90161809,86.16663851,80.2939323,80.36674484,66.84154852,95.56367172,92.75026992,88.56871647,91.90267209,81.26964812,40.03338948,35.73177553,42.2512409,31.15046949,15.78609091,37.03251555,41.65708763,11.88816502,31.90327012,26.05053044
28.71860422,G9948,OL,30/03/2018,Medium,Cheap,NA,Long,NA,Steam plant,Yes,Checked,Wooden,Rough,30.26311671,37.53140677,34.59352866,28.41245499,27.05057411,NA,26.85498419,26.01501872,29.67868213,40.77241627,65.88387508,51.90143331,83.20996074,67.25511852,79.06810974,NA,58.44340564,68.84327679,68.98865396,67.1478402,98.31750023,80.56013558,99.72258952,96.64221976,95.58882635,87.20408537,90.05103993,NA,90.12875116,81.04111301
15.1513959,D13,TX,5/04/2018,Medium,Expensive,Fast,Short,Hot,Storage tanks,Yes,Checked,Wooden,Textured,39.12286215,37.06750827,26.57237374,347.1734999,31.07131436,33.06909203,25.61756655,365.7609657,37.19888752,38.72780383,321.7695917,60.72496362,45.0453032,39.14887733,51.48633327,351.4945084,58.24687057,62.21889397,51.3507873,58.19036092,-36.38903067,357.2138855,-23.05929268,327.0813411,-18.38459643,-17.7054639,-5.127550305,330.488205,-50.98061384,-24.27232929
24.3412255,D14,TX,12/04/2018,Medium,Expensive,Medium,Short,Warm,Control room,Yes,Under review,Wooden,Rough,44.34714912,28.96071551,31.93077684,362.4575209,32.83208955,34.24942419,38.38765919,349.1393166,31.27824553,38.04366565,355.5692978,50.72472418,45.57973737,51.07373478,60.61650179,328.0157609,62.037257,48.71305788,54.61013239,53.18931435,36.13167422,351.1479807,42.00939035,336.4448415,22.59900161,48.14583899,36.35370023,344.9610877,15.30690922,37.11261745
32.61180885,D15,TX,20/04/2018,Medium,Expensive,Fast,Long,Cold,Steam plant,No,Uncertain,Metal,Smooth,36.6919674,39.76406536,33.67329858,320.0992124,24.34909033,37.34159802,30.37274094,360.0631478,25.11780762,32.23142252,326.8627225,76.32356814,83.68592603,68.5135619,50.31522131,329.7193611,84.63739016,51.29273549,83.07153322,58.74826391,48.26557171,362.0467313,14.15839398,325.8534725,55.63747762,45.52829363,40.27342174,347.9300323,30.18581168,33.65258923
